"Average Order","Average Order"
"Average Order Value","Average Order Value"
Bestsellers,Bestsellers
Customers,Customers
"Last Order","Last Order"
"Last Search Terms","Last Search Terms"
"Lifetime Sales","Lifetime Sales"
"Most Viewed Products","Most Viewed Products"
"New Customers","New Customers"
Orders,Orders
first,first
repeat,repeat
"Repeat Customer Rate","Repeat Customer Rate"
"Sale By Location","Sale By Location"
Shipping,Shipping
Tax,Tax
"Top Search Terms","Top Search Terms"
Totals,Totals
Dashboard,Dashboard
"All Websites","All Websites"
"compare with","compare with"
Card,Card
"View Details","View Details"
"Please upgrade to %1 version to see more detail","Please upgrade to %1 version to see more detail"
"Chart is disabled. To enable the chart, click <a href='%1'>here</a>","Chart is disabled. To enable the chart, click <a href='%1'>here</a>"
"We couldn't find any records.","We couldn't find any records."
"Group By","Group By"
Day,Day
Week,Week
Month,Month
Year,Year
"Let’s experience your new dashboard","Let’s experience your new dashboard"
"Hello there! Better reports are available","Hello there! Better reports are available"
"Mageplaza Advanced Reporting","Mageplaza Advanced Reporting"
"The better reports provides ecommerce insights across performance metrics, product sales, customers, and cost of goods sold. Instantly measure metrics like customer lifetime value, gross margin, net profit, and more to build and automate high-quality ecommerce reports.","The better reports provides ecommerce insights across performance metrics, product sales, customers, and cost of goods sold. Instantly measure metrics like customer lifetime value, gross margin, net profit, and more to build and automate high-quality ecommerce reports."
"Try to use new Dashboard","Try to use new Dashboard"
Continue,Continue
"Mageplaza Reports Dashboard","Mageplaza Reports Dashboard"
Reports,Reports
"General Configuration","General Configuration"
"Module Enable","Module Enable"
"Enable Chart","Enable Chart"
"Enable Comparison","Enable Comparison"
